economy,series,Country,Series,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
USA,SL.FAM.WORK.MA.ZS,United States,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0.0915891433512383,0.0727606517437399,0.100405147901135,0.0851424154530789,0.0728752104184125,0.0623838042519363,0.0715097423878982,0.0633022073766862,0.0590098995228941,0.0547165496915798,0.0549468501401075,0.0611508256025676,0.0431276264843741,0.0515909288962971,0.0577833491784607,0.0489840046236906,0.0672515827721033,0.0532499754572366,0.0668440783849818,0.0579745441066046,0.0434944622630664,0.0483890132486347,0.0438290781687703,0.0353637758267331,0.0491401936310745,0.0371702817453598,0.0445617786469215,0.0576024317866251,0.0454912368500507
CAN,SL.FAM.WORK.ZS,Canada,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",0.436381572624767,0.427899122280724,0.413165910816089,0.4670339543927,0.420806416300152,0.311754894494461,0.281581585913175,0.217303438910569,0.213077613075592,0.216954161263534,0.185830528926442,0.160079072680414,0.191945253176327,0.172157164418459,0.165483694298887,0.147719275560898,0.120234071216252,0.133933014578163,0.117983775537449,0.136706114878046,0.136570602039914,0.128452878340695,0.13905116427436,0.139454581031134,0.137381261655625,0.118111341282441,0.126997610842321,0.0914951303621307,0.088954030596258
MEX,SL.FAM.WORK.ZS,Mexico,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",12.8999137256118,11.7535736285076,11.3931001844895,11.9522136408263,10.2857067283328,9.72109846434936,8.33770602246595,8.0327893108201,7.800438553349,7.61633004354648,7.31376327825868,7.16719019153308,6.73192535173773,6.68462939091151,6.53352468619562,6.46578641923605,6.49749846989322,6.15873105443607,6.10242782685118,5.73171150527193,5.50874748722987,5.27830654512284,4.87114918927328,4.67114945649715,4.47741871738499,4.54158852004558,3.87795865183582,4.15673803506373,4.10149138624642
USA,SL.FAM.WORK.ZS,United States,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",0.146218344995343,0.124266604174831,0.144798466578296,0.132483655059218,0.107272049289708,0.100794676616647,0.102913281838446,0.098453025248913,0.0884007716354845,0.0917514535592867,0.0834750485678292,0.0863955119137437,0.0727296218723349,0.0897462795813473,0.0835860101488787,0.0649145821529997,0.0838809184861865,0.076188311767851,0.0774049134401553,0.0699977017203357,0.0589112977741363,0.067087848428763,0.0583633625366293,0.050355320279626,0.0620480857207604,0.0506569832660133,0.0562484250393151,0.070291584861672,0.0574472640170842
CAN,per_si_allsi.cov_pop_tot,Canada,Coverage of social insurance programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_pop_tot,Mexico,Coverage of social insurance programs (% of population),,,,,,,,,,,,,,,10.6573734986779,,11.1828321901076,,13.1296161432381,,11.3388481247684,,13.8914611154178,,14.1585499577566,,15.9591381935276,,16.2052263742284
USA,per_si_allsi.cov_pop_tot,United States,Coverage of social insurance programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.cov_q2_tot,Canada,Coverage of social insurance programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_q2_tot,Mexico,Coverage of social insurance programs in 2nd quintile (% of population),,,,,,,,,,,,,,,5.8983932407022,,6.60501072275625,,8.17963036568851,,7.32492337072116,,9.3712409424526,,9.49485305503878,,10.7413391950109,,10.8331164272999
USA,per_si_allsi.cov_q2_tot,United States,Coverage of social insurance programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.cov_q3_tot,Canada,Coverage of social insurance programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_q3_tot,Mexico,Coverage of social insurance programs in 3rd quintile (% of population),,,,,,,,,,,,,,,9.53669133734888,,9.70643347449228,,12.3704481796822,,11.350841964694,,13.0276732552333,,14.3312163804368,,14.767242822327,,15.6046168525271
USA,per_si_allsi.cov_q3_tot,United States,Coverage of social insurance programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.cov_q4_tot,Canada,Coverage of social insurance programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_q4_tot,Mexico,Coverage of social insurance programs in 4th quintile (% of population),,,,,,,,,,,,,,,14.8755375899999,,14.9917690950441,,18.3553130352946,,14.1936558913137,,19.1998256479293,,18.1173865618255,,20.5423943765751,,21.4401389587844
USA,per_si_allsi.cov_q4_tot,United States,Coverage of social insurance programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.cov_q1_tot,Canada,Coverage of social insurance programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_q1_tot,Mexico,Coverage of social insurance programs in poorest quintile (% of population),,,,,,,,,,,,,,,2.56589217181771,,3.7368041436596,,4.45771459221337,,3.32319235047731,,3.47340217061051,,4.41586597579539,,5.27236081939181,,5.0741084330172
USA,per_si_allsi.cov_q1_tot,United States,Coverage of social insurance programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.cov_q5_tot,Canada,Coverage of social insurance programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.cov_q5_tot,Mexico,Coverage of social insurance programs in richest quintile (% of population),,,,,,,,,,,,,,,20.4047192059237,,20.8690372651456,,22.2782756596704,,20.4960893198903,,24.3825846284863,,24.4325318545696,,28.4704898453907,,28.0738331293756
USA,per_si_allsi.cov_q5_tot,United States,Coverage of social insurance programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_allsp.cov_pop_tot,Canada,Coverage of social protection and labor programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_allsp.cov_pop_tot,Mexico,Coverage of social protection and labor programs (% of population),,,,,,,,,,,,,,,24.7955725869768,,40.4482529686928,,46.5673447035278,,41.1350368293745,,51.7065184120154,,46.7667530207002,,46.6694929740684,,48.1574389925059
USA,per_allsp.cov_pop_tot,United States,Coverage of social protection and labor programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_pop_tot,Canada,Coverage of social safety net programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_pop_tot,Mexico,Coverage of social safety net programs (% of population),,,,,,,,,,,,,,,15.6260035444029,,31.9919338109887,,37.0654296598188,,32.5553993270763,,43.1204772444749,,37.1650723813001,,37.5450873752437,,40.5689269211512
USA,per_sa_allsa.cov_pop_tot,United States,Coverage of social safety net programs (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_q2_tot,Canada,Coverage of social safety net programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_q2_tot,Mexico,Coverage of social safety net programs in 2nd quintile (% of population),,,,,,,,,,,,,,,19.7074170699966,,41.4749539702105,,47.093299421159,,39.3945524506746,,52.957461168368,,46.3209369354157,,42.423614954816,,44.9775565126665
USA,per_sa_allsa.cov_q2_tot,United States,Coverage of social safety net programs in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_q3_tot,Canada,Coverage of social safety net programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_q3_tot,Mexico,Coverage of social safety net programs in 3rd quintile (% of population),,,,,,,,,,,,,,,13.961289809719,,32.6337895247885,,35.3844989181713,,32.1196673785861,,43.6056807702846,,36.1912551287263,,38.3474695049217,,41.4074471848156
USA,per_sa_allsa.cov_q3_tot,United States,Coverage of social safety net programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_q4_tot,Canada,Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_q4_tot,Mexico,Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,,,,10.3768842474052,,20.7780874876587,,21.4286669427081,,22.4872492238154,,32.2196470410576,,27.1993939157619,,34.5015560310795,,36.7597916702769
USA,per_sa_allsa.cov_q4_tot,United States,Coverage of social safety net programs in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_q1_tot,Canada,Coverage of social safety net programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_q1_tot,Mexico,Coverage of social safety net programs in poorest quintile (% of population),,,,,,,,,,,,,,,26.6546322591827,,54.880693954052,,68.8327840065082,,55.6989506402177,,67.6775370299703,,61.075625644609,,46.9099395616014,,51.5813312073868
USA,per_sa_allsa.cov_q1_tot,United States,Coverage of social safety net programs in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.cov_q5_tot,Canada,Coverage of social safety net programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.cov_q5_tot,Mexico,Coverage of social safety net programs in richest quintile (% of population),,,,,,,,,,,,,,,7.43464921059499,,10.2091798667536,,12.6167065625874,,13.086712492348,,19.1475101136768,,15.0403156302852,,25.5447102088169,,28.1188291785174
USA,per_sa_allsa.cov_q5_tot,United States,Coverage of social safety net programs in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_pop_tot,Canada,Coverage of unemployment benefits and ALMP (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_pop_tot,Mexico,Coverage of unemployment benefits and ALMP (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.779821797190219,,0.411914795082577
USA,per_lm_alllm.cov_pop_tot,United States,Coverage of unemployment benefits and ALMP (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_q2_tot,Canada,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_q2_tot,Mexico,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.954355171259086,,0.499481154480791
USA,per_lm_alllm.cov_q2_tot,United States,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_q3_tot,Canada,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_q3_tot,Mexico,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.918821162213959,,0.469232103421168
USA,per_lm_alllm.cov_q3_tot,United States,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_q4_tot,Canada,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_q4_tot,Mexico,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.704536183212849,,0.39334823311386
USA,per_lm_alllm.cov_q4_tot,United States,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_q1_tot,Canada,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_q1_tot,Mexico,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.916208616362059,,0.433462343538516
USA,per_lm_alllm.cov_q1_tot,United States,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.cov_q5_tot,Canada,Coverage of unemployment benefits and ALMP in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.cov_q5_tot,Mexico,Coverage of unemployment benefits and ALMP in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,0.405209179744109,,0.264050695155756
USA,per_lm_alllm.cov_q5_tot,United States,Coverage of unemployment benefits and ALMP in richest quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.EMP.MPYR.FE.ZS,Canada,"Employers, female (% of female employment) (modeled ILO estimate)",2.94606310960166,3.03673847408189,3.07589630705103,3.17761125068584,3.140199033827,3.17933037951482,3.26031013056767,2.92487617705656,2.94466866614828,2.86034353000726,2.95516741195106,3.04763201781854,2.98542558304881,2.74926104382901,2.74562259584856,2.63375899896946,2.55670685739209,2.69701611518687,2.52396824306836,2.50876076380652,2.48366292354127,2.56324208171955,2.49521230301852,2.4867550347349,2.59721744626694,2.4888870102308,2.36805264167422,2.23635632712889,2.03580537850874
MEX,SL.EMP.MPYR.FE.ZS,Mexico,"Employers, female (% of female employment) (modeled ILO estimate)",1.50150257304297,1.4461839463629,2.02543424577177,1.64758520002211,1.89521726709191,1.87577521151034,1.96396286465792,1.86367604941061,1.91172163187034,1.75272757978178,1.88803285293782,2.08393728690355,2.31390048266937,2.46847289330478,2.31405396906401,2.19435011891446,2.23514618566034,2.44890793642918,2.4218574847851,2.30740645863436,2.16656382798361,2.31108254647497,2.28101853482205,2.41080590541831,2.57756861327572,2.53875117922607,2.55935472268289,2.76484996750521,2.84312429456405
USA,SL.EMP.MPYR.FE.ZS,United States,"Employers, female (% of female employment) (modeled ILO estimate)",1.71164078217866,1.66847326228192,1.64144113144455,1.61558167775741,1.5573985855386,1.513344973378,1.51529986254861,1.50387960956498,1.47910968729873,1.52539064253025,1.53475276258131,1.52691047343242,1.53746082033768,1.51393206078034,1.48045108666882,1.4936992315681,1.47037466579925,1.41066473769039,1.38925229376496,1.35141409518216,1.31546687510344,1.30783151011938,1.2914787804314,1.26756312047877,1.27286382065807,1.24176249155974,1.20518632386507,1.27420724981886,1.22321109379611
CAN,SL.EMP.MPYR.MA.ZS,Canada,"Employers, male (% of male employment) (modeled ILO estimate)",8.7554380150957,8.79357007594203,8.53422183707324,8.24126399237089,7.95335266424408,7.91823380726384,7.4853735205325,7.28478235557087,7.02238660332459,7.06261838535773,7.27016364451837,7.40724917564592,7.08790592255952,7.00343663467408,7.04995461922817,7.12831525040077,6.92617066629694,6.65082511829137,6.50878341518938,6.49932822929773,6.23892516709143,6.2805921372879,6.17452433308042,6.01476637740334,6.13337025573111,5.7883139379967,5.69422351617276,5.3672780695485,5.17360791401783
MEX,SL.EMP.MPYR.MA.ZS,Mexico,"Employers, male (% of male employment) (modeled ILO estimate)",5.55855329905562,5.81844648247684,6.2383640984059,6.11697462496105,5.70307343317148,5.26928660602093,5.54608362039506,5.83734840023297,5.76241842669734,5.55759695726695,5.52429086966491,6.18564182469354,6.41583433204775,6.53186284701729,6.10787221350211,5.77189367523466,5.85572596240479,6.22696195680628,5.87158847230188,5.7990689807774,5.42650014137701,5.58236754439793,5.72561544225749,5.85962004957034,6.17263955955019,6.22657893159147,6.13954359641178,6.41034943861765,6.63094475873062
USA,SL.EMP.MPYR.MA.ZS,United States,"Employers, male (% of male employment) (modeled ILO estimate)",5.85511573061181,5.67429828446801,5.55132047509047,5.43201882528109,5.2213452404632,5.0548295082902,5.0196249540395,4.94872572941113,4.83192493279396,4.93236496518164,4.92171986565885,4.87283375387215,4.87469256572483,4.78488483124714,4.66945567893718,4.65970992399771,4.54333489307238,4.31755938173996,4.20290489081775,4.05033709280002,3.92089426144729,3.87637283515493,3.80363620399434,3.69312586373575,3.69129283884369,3.58143454138395,3.65509201900495,3.78134782703214,3.60885097919627
CAN,SL.EMP.MPYR.ZS,Canada,"Employers, total (% of total employment) (modeled ILO estimate)",6.1379869783042,6.19392796204647,6.06533360988969,5.94961510930203,5.75901183656615,5.75218159229791,5.54972988862207,5.27703259141479,5.132259092461,5.10633215696352,5.258170653332,5.37597180007563,5.17108589356426,5.00602645618608,5.0261968754185,4.98727363015992,4.84956670605832,4.78268422657287,4.62398126562001,4.60964848000501,4.46415360093756,4.52514720239647,4.43109423166093,4.34697580020035,4.46279174233887,4.22732012269571,4.13310403672245,3.89123588050752,3.68571925063632
MEX,SL.EMP.MPYR.ZS,Mexico,"Employers, total (% of total employment) (modeled ILO estimate)",4.27698352426884,4.40935361297403,4.87534933024524,4.63491852529101,4.4325444644363,4.14061698513962,4.33646987768848,4.50371363869194,4.45828130941483,4.25797043964815,4.26351588351722,4.72988060465742,4.93677992341592,5.0558316306769,4.72567626649278,4.44918857472213,4.5163054708905,4.81861670811607,4.56938006708591,4.47739751986343,4.20679571124482,4.34989827452246,4.42109680201204,4.56035624194391,4.80619672515648,4.79343215201933,4.75364515660066,4.99338148228779,5.13701865058227
USA,SL.EMP.MPYR.ZS,United States,"Employers, total (% of total employment) (modeled ILO estimate)",3.99551400059555,3.87665191859046,3.79493885910066,3.71291531433763,3.57241637958745,3.46015120872544,3.44246215646883,3.39461246133316,3.31692603269376,3.38613455417479,3.39107032943127,3.36265491306136,3.36895956853274,3.30571153940331,3.21888420483322,3.1988765022166,3.12775142157991,2.98915653052581,2.92580065960557,2.82695269603054,2.74189306598323,2.7175037154345,2.67153732077469,2.59783657226179,2.59943063388197,2.52296096150065,2.55135035989775,2.64678921905061,2.52763829510903
CAN,SL.AGR.EMPL.ZS,Canada,Employment in agriculture (% of total employment) (modeled ILO estimate),3.34804365259885,3.15348965848262,3.11228920830229,3.0073097199231,2.99099855611076,2.80597632377521,2.51550915044651,2.16014538278363,2.11688667417566,2.10705420065225,2.0231687271292,2.12205008855521,2.08178496254019,1.95753425728379,1.9145965078368,1.90144756663791,1.77843013002565,1.76816686054078,1.72459521987484,1.80261917546294,1.72755098214632,1.64393695917142,1.94745888181038,1.51620731128188,1.51886614824141,1.53795990396589,1.55065077738241,1.36487062080716,1.3065592098292
MEX,SL.AGR.EMPL.ZS,Mexico,Employment in agriculture (% of total employment) (modeled ILO estimate),24.6064605756103,23.4781716786696,21.9259622782747,23.4090009422356,19.3265772613648,20.221160615563,17.4054242107366,17.4603019564001,17.2040713313738,16.3540080191267,15.5795546237351,15.6364540310295,14.9555795985385,14.4999462941046,14.4094052698894,14.5104410792768,14.63555628503,14.2228238035956,14.2788461707743,14.1977831914759,14.3011299549038,13.9526301605551,13.604458398655,13.6489931287543,13.3559491915634,13.0440885104383,13.1669700563214,13.3118155317994,12.6495522168809
USA,SL.AGR.EMPL.ZS,United States,Employment in agriculture (% of total employment) (modeled ILO estimate),2.77019341484281,2.75420348207593,2.71727105646977,2.62353571835145,2.56954434211865,2.45789898380818,2.26454136792772,2.10776724370164,1.95540295181781,1.8103342628033,1.75268270253597,1.69278311814549,1.66751093308373,1.57514740287353,1.6133502186422,1.62657106744675,1.73921594280771,1.75761456532734,1.69279289571017,1.62408316382301,1.66163791499523,1.78139159907865,1.78133393217306,1.76833506100628,1.70871906711673,1.67971284695616,1.74639288516775,1.66240286127329,1.62054379844697
CAN,SL.AGR.EMPL.FE.ZS,Canada,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",2.29550742352191,2.11878700914128,2.09189370738125,2.03713713185857,2.06155204076236,1.94066437432863,1.65230930247938,1.34256611405875,1.36048404460298,1.32173136992414,1.28590830954481,1.35468688403281,1.37456031357485,1.28143700906603,1.19540704935266,1.16697470936603,1.09925950602283,1.0796833268858,1.09106787876867,1.11287925672962,1.06860099653712,1.03366188561547,1.12854966395273,0.964341266207098,0.960772440177462,1.01150360999172,1.02361739179057,0.91775517566182,0.82980309414857
MEX,SL.AGR.EMPL.FE.ZS,Mexico,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",10.1222645156961,9.8457236933406,9.72716293506283,11.7640369388489,7.89186910975013,8.53839989816169,6.67012398416665,5.91467437305212,6.13875819177754,5.78863774011688,5.37661811870715,5.57857039322245,5.31995990727608,5.24445376008709,5.03070321886759,4.55767425207523,4.59608194732405,4.53708527610434,4.7709312356401,4.56912437064297,4.37493417052645,4.31856952112697,4.285881783669,4.42728611894334,4.24959993244159,4.32180880494449,4.49679876468321,4.96644931194574,5.00723493637809
USA,SL.AGR.EMPL.FE.ZS,United States,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.4980690503222,1.52090258244656,1.47207583569464,1.39905939636436,1.33932613300387,1.34153880114804,1.24331859806521,1.16201811895484,1.08251791191249,1.00981759022626,0.945143499696979,0.935083007973917,0.914768895115958,0.829969613670501,0.846565522763141,0.836826475272394,0.932289874086882,0.960314254893482,0.962521411299573,0.860025572205809,0.876738273894809,0.957270207772168,0.96697348810863,0.949232399475424,0.963708568284735,0.950514367943814,1.03199746857486,0.993735662823405,0.992310788871716
CAN,SL.AGR.EMPL.MA.ZS,Canada,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",4.21113385747828,4.00546784757801,3.95499055459202,3.8093631707499,3.76979500838718,3.53447195361297,3.24531413580428,2.85801333660726,2.77043562111209,2.79108092285295,2.66726437553063,2.79150887119065,2.70201607358274,2.55591790150031,2.55279770518961,2.56961292899254,2.3935433885874,2.38484419068466,2.29319503667667,2.42301424528395,2.31806433705618,2.18999001519008,2.68497243222806,2.01098567680761,2.01862611980304,2.01067869003496,2.01679135939395,1.76366774704109,1.73648742952198
MEX,SL.AGR.EMPL.MA.ZS,Mexico,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",31.2944695797228,29.9608915813603,27.7602406384272,29.1862234263392,25.0523336181243,26.0431907738228,22.8787764979245,23.2926795343772,22.8708129176509,21.8349278944138,20.9946926512413,21.1701616606356,20.3891522842352,19.7800138555456,19.7847061511319,20.3488049886004,20.5304002596836,19.9791664860631,20.0442422978313,20.0622880705811,20.2352560013756,19.7764433727765,19.2847439235962,19.2229171066167,18.9393419746567,18.588260704045,18.6429894019113,18.6180557397582,17.6266997452141
USA,SL.AGR.EMPL.MA.ZS,United States,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",3.8059964707559,3.75821515962555,3.73284584254963,3.62719038121594,3.57625619636044,3.37233787522264,3.10029784263826,2.8851384422121,2.67496335766796,2.4755438072703,2.41854910836254,2.31610663168008,2.28636394953198,2.19031634336807,2.25316545287533,2.30314898974126,2.42842154301003,2.42859433159241,2.29976025405597,2.2575712577843,2.31039164240637,2.45888938457728,2.44937555672202,2.4427478635107,2.32191761254394,2.28214668470544,2.33213722622592,2.21511457021467,2.14127204912138
CAN,SL.IND.EMPL.ZS,Canada,Employment in industry (% of total employment) (modeled ILO estimate),22.6692637701459,22.9279942402416,22.7503877919376,23.0570616139058,23.1172557235936,23.1216143151799,23.294177869961,23.062826289589,23.2298586828841,22.9734222936136,23.0487870717783,22.6905011703111,22.2063172877919,21.7531877390931,21.5329627603747,20.4295196166146,20.2599700733216,20.4792259716561,20.6756489426905,20.3996291995192,20.2356456912554,20.0427476019242,19.5077843845451,19.7527719960504,19.7053403089212,19.3032303883275,19.4918288613216,19.3361585970201,19.3705495532039
MEX,SL.IND.EMPL.ZS,Mexico,Employment in industry (% of total employment) (modeled ILO estimate),22.1256844536558,21.7562213535826,22.7845458624839,22.5665843528732,24.9109973756003,25.6585586020808,27.06526479757,26.0779993656148,25.6338507955322,25.291171277958,25.052233145617,23.9024633702556,24.0183874964356,24.0180855455139,23.5066820953802,22.4891624415582,23.0377632326023,23.0813540453189,22.9239864336918,23.2468158905185,23.7081932199872,24.0104171037508,24.4459570571239,24.7887825567837,24.9134614384087,24.5354508574337,24.1241144059634,24.464912914906,24.9721396852391
USA,SL.IND.EMPL.ZS,United States,Employment in industry (% of total employment) (modeled ILO estimate),23.4015923252435,23.4411521597859,23.3205478706919,23.3679116613481,23.2095724619436,22.7091584796952,22.6900465933563,22.4257966406618,22.280206512388,22.1877105056241,22.1366612055496,22.0102469674384,22.1018151844876,21.8861308137137,21.2220152849772,19.7604865867835,19.3707385126508,19.4449928016327,19.4661115073986,19.6851458922622,19.7080647146788,19.5552585711376,19.4748572762793,19.427049292447,19.5692888282673,19.6179646764402,19.4184042333616,19.1836648795555,19.2767780698353
CAN,SL.IND.EMPL.FE.ZS,Canada,"Employment in industry, female (% of female employment) (modeled ILO estimate)",10.8790589305145,11.2532741737967,11.0923841929555,11.4152877645904,11.4393084209752,11.4910619641687,11.4490682569029,11.3023722494117,11.497650129116,11.3268729977955,11.3155142789372,10.7984478805916,10.4890191344749,10.1718379107486,9.73777705792692,9.00869840588815,8.60932564115648,9.04980313668368,9.08653922340251,8.70502847428952,8.57345289315087,8.6244200155446,8.63904489533386,8.575329932597,8.6116555517494,8.3457013644565,8.75440080427326,8.7954922121012,8.64417166548258
MEX,SL.IND.EMPL.FE.ZS,Mexico,"Employment in industry, female (% of female employment) (modeled ILO estimate)",16.392254674311,15.2735734810116,17.8840648191771,18.4857851216757,20.3843384148454,21.2370988484437,22.1573298599353,21.9100053577578,20.8431962851051,19.8853409563464,19.1935668837239,18.563351304107,18.3938665265606,17.6707778891831,17.0736397438134,15.8583540056005,15.8522942736837,15.6866957571213,15.5859521303055,15.9335057415184,16.2626105198082,16.4570916857576,16.842074084052,17.3028681353352,17.446255396263,16.9073683252885,16.9793933669157,17.1223196570971,17.4544994508718
USA,SL.IND.EMPL.FE.ZS,United States,"Employment in industry, female (% of female employment) (modeled ILO estimate)",12.5332457980431,12.3782882151268,12.3586718574984,12.3233459001203,12.128984365401,11.6957301201427,11.4282189371372,11.0308901198655,10.7452820511729,10.5020494606998,10.2119948847409,9.9936555637458,9.80029340890725,9.80974355841066,9.36583837991465,8.43570702960765,8.20902198074284,8.4646957789818,8.48912468137814,8.55553681168959,8.60190485723334,8.5485380314594,8.42123952534092,8.42614365191167,8.46744005683557,8.59473405818723,8.59027086107389,8.4477620442168,8.55865098851517
CAN,SL.IND.EMPL.MA.ZS,Canada,"Employment in industry, male (% of male employment) (modeled ILO estimate)",32.3375030992113,32.5410041873381,32.3783896271524,32.6814556282498,32.9023756747853,32.9132476392173,33.3089665032258,33.1013071757414,33.3667635645711,33.1177229914314,33.2993712169807,33.0653008368214,32.4822953851297,32.0035130431442,31.9998870867785,30.8192802008207,30.8117590481634,30.7166036494326,31.0770400677801,30.9184819386527,30.6864538739483,30.259472720377,29.2960873103364,29.7739556773058,29.6394777103102,29.1422792007532,28.988667393095,28.7377208422639,29.0435732957745
MEX,SL.IND.EMPL.MA.ZS,Mexico,"Employment in industry, male (% of male employment) (modeled ILO estimate)",24.773068528691,24.8389562770871,25.128282299235,24.5911186090128,27.1776554331032,27.8619651985084,29.5675568946076,28.1834990122194,28.0872275682097,28.0955143411647,28.1616791552635,26.8399691196439,27.1900816005221,27.6390936264455,27.1937126369186,26.378844257199,27.2568301464783,27.476084735562,27.3736133857189,27.7011171376465,28.1593476561089,28.5764176114191,29.0810235783913,29.3135324588946,29.4918428834897,29.3841125707251,28.6366700767379,29.1335570140912,29.8680927130334
